Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Senior Manager,"Pune, Maharashtra",Full Time,Engineering Department,04-Sep-23,5,3,3,4,5,3,3,"Job security, Food","1. Processes are in place but not getting followed.
2. Nepotism is observed.
3. No work life balance
4. No empathy
5. Micro Management"
Customer Service Executive,"Mumbai, Maharashtra",Full Time,Retail Store Operations Department,02-Sep-23,5,5,5,5,5,5,5,"We feel very good in this company, if any problem comes then they support us all the time and we are very happy like this.","There is nothing about this company that we should not write about, everything is very good only for salary"
Senior Manager,Pune,Full Time,Production & Manufacturing Department,02-Sep-23,4,5,2,2,4,3,1,Work life balance,Doesn’t have any proper policy regarding progression & promotion. Lots of politics at workplace.
Data Entry Operator,"Jamshedpur, Jharkhand",Full Time,Production Department,02-Sep-23,5,5,5,5,5,4,5,No any Competitor Entire World regarding our Excellent  Company Tata's Code of Conduct and Company Ethics .,No issues
Planning Engineer,"Sanand, Gujarat",Intern,Construction / Manufacturing Department,02-Sep-23,4,1,1,3,4,1,2,job security and being a part of organization with good CSR,"people just dont work 
lazy going 
lower hierarchy not treated well
keep performing lame work
no perfect planning or clarity in anything you do"
Senior Manager,Pune,Full Time,Product Line Department,01-Sep-23,5,4,4,4,5,3,4,"Job Security 
Recognition
Work life balance","Work culture 
Food
Traveling
Saturday working
No flexible timing"
Senior Manager,Lucknow,Full Time,Management Department,01-Sep-23,3,3,3,3,3,1,2,A big group having a great legacy and proud feel,No opportunity for internal Growth and least scope for promotion unless there is a connection in apex management.
Apprenticeship Trainee,Jamshedpur,Contractual,"Operations, Maintenance & Support Department",01-Sep-23,5,3,5,2,3,5,1,"Company work very excellent and very skill learning  
Culture is very good and supervisor and senior manager behaviour is very good",Company selery is very bad not satisfied
Senior Manager,Pune,Full Time,Engineering & Manufacturing Department,01-Sep-23,3,3,5,2,5,2,2,Learning and work is awesome. Job security is similar to government job.,"Bad work culture with less salary compared to market standard.
Promotion and appraisal and non existent."
DET( Diagnosis Expert Cum Trainer) In Electric Vehicle,"Jaipur, Rajasthan",Full Time,Technical specialist (Electric vehicle) Department,01-Sep-23,4,4,5,4,5,4,5,"Tata motors (First mobital) jaipur good learning platform and we have grown and developed our skills. Job security, work satisfaction and good company culture.",Sometimes we have to face problems related to work and management
Diagnostic Expert Cum Trainer,"Raichur, Karnataka",Full Time,After Sales Service & Repair Department,07-Sep-23,5,5,5,3,3,5,3,J feel proud when I'm in my duty time 🙌🏻🫀,Salary is not enough because we are leaving in 2023 so 15000 will not work at all
Cce,Hyderabad,Full Time,General Insurance Department,06-Sep-23,4,3,3,3,3,3,2,"Good Oranization and working culture also, TBSS was one of the best company I've worked for. Only salary is less.",Salary is less promotion is very difficult.
Team Member,"Pimpri-Chinchwad, Maharashtra",Full Time,Engineering Department,06-Sep-23,3,1,1,5,1,5,3,"Very good in terms of etiquettes & manners,rules.Food quality is top notch.Best in the world in terms of employee safety.","If you join as a trainee(NTTF/NAPS) or apprentice (GOVT.ITI) You'll regret your worklife why you've joined this company,trainers give you fake hope of placements but sad part is that certificates not going to work anywhere you'll not get any job as trainers have told you like big stipends packages.sometimes tata gives you somewhere good packages but Diploma holders stay away from this job, Prefer diploma from govt engg colleges.But it's good job for needy people.Also I've seen increase in all trainees stipends because of resignations....Read More"
Supervisor   (working remotely),,Part Time,Data Science & Machine Learning Department,05-Sep-23,4,4,3,4,4,4,3,"Company policy is stick but not your work and your payment.... Only contact, online interview, interview charges aprox 65 rupies only... Come enjoy, work and earn",Dislike means work at night expectaly... But we are solved any have problem
Senior Sales Engineer,Pune,Full Time,Retail & B2C Sales Department,05-Sep-23,5,5,4,4,3,5,3,Company is Filled with Dedicated People's who works hard everyday. There is a huge scope to learn and then move to bigger challenges.,"HR Policies on Hiring, Confirmation are critical for newbies."
